"word","is_sequential","present_trial","recog_rating","recog_RT","target_angle","response_angle","response_error","source_RT","valid_RT","block","session","recog_band","angle_1","angle_2","angle_3","angle_4","angle_5","angle_6","angle_7","angle_8","angle_9","angle_10","offset1","offset2","offset3","offset4","offset5","offset6","offset7","offset8","offset9","offset10","participant"
"COPE",FALSE,4,"6",872,5.44604340387414,5.48575473497588,-0.0397113311017439,1199.39999997616,TRUE,4,2,"High",0.853892507615134,1.16884708639874,5.89825424154041,4.06511685737529,5.44604340387414,1.40864845634808,3.6068722929779,4.54929047553666,4.80590406524802,1.16911981194818,-1.69103441092058,-2.00598898970419,-0.452210837666269,1.38092654649885,0,-2.24579035965352,1.83917111089624,0.896752928337481,0.640139338626123,-2.00626171525362,1
"PEAR",FALSE,5,"6",670.299999952316,1.40864845634808,1.33580862403651,0.0728398323115633,878.5,TRUE,4,2,"High",0.853892507615134,1.16884708639874,5.89825424154041,4.06511685737529,5.44604340387414,1.40864845634808,3.6068722929779,4.54929047553666,4.80590406524802,1.16911981194818,0.554755948732944,0.239801369949339,1.79357952198726,-2.65646840102722,2.24579035965352,0,-2.19822383662982,-3.14064201918858,2.88592969827965,0.2395286443999,1
"LUST",FALSE,6,"6",1750.89999997616,3.6068722929779,3.81285952127343,-0.205987228295533,1230.19999992847,TRUE,4,2,"High",0.853892507615134,1.16884708639874,5.89825424154041,4.06511685737529,5.44604340387414,1.40864845634808,3.6068722929779,4.54929047553666,4.80590406524802,1.16911981194818,2.75297978536276,2.43802520657916,-2.29138194856251,-0.458244564397396,-1.83917111089624,2.19822383662982,0,-0.942418182558761,-1.19903177227012,2.43775248102972,1
"PINE",FALSE,7,"6",737.100000023842,4.54929047553666,4.47698358615967,0.0723068893769874,1951.10000002384,TRUE,4,2,"High",0.853892507615134,1.16884708639874,5.89825424154041,4.06511685737529,5.44604340387414,1.40864845634808,3.6068722929779,4.54929047553666,4.80590406524802,1.16911981194818,-2.58778733925806,-2.90274191804167,-1.34896376600375,0.484173618161365,-0.896752928337481,3.14064201918858,0.942418182558761,0,-0.256613589711358,-2.90301464359111,1
"HEEL",FALSE,8,"6",973.200000047684,4.80590406524802,4.92304727080966,-0.117143205561646,1456.89999997616,TRUE,4,2,"High",0.853892507615134,1.16884708639874,5.89825424154041,4.06511685737529,5.44604340387414,1.40864845634808,3.6068722929779,4.54929047553666,4.80590406524802,1.16911981194818,-2.3311737495467,-2.64612832833031,-1.09235017629239,0.740787207872723,-0.640139338626123,-2.88592969827965,1.19903177227012,0.256613589711358,0,-2.64640105387975,1
"TOFU",FALSE,9,"6",612.800000071526,1.16911981194818,0.958377895852539,0.210741916095639,1547.60000002384,TRUE,4,2,"High",0.853892507615134,1.16884708639874,5.89825424154041,4.06511685737529,5.44604340387414,1.40864845634808,3.6068722929779,4.54929047553666,4.80590406524802,1.16911981194818,0.315227304333044,0.000272725549438579,1.55405087758736,-2.89599704542712,2.00626171525362,-0.2395286443999,-2.43775248102972,2.90301464359111,2.64640105387975,0,1
"SEED",FALSE,0,"6",738.399999976158,0.675279591215691,0.795550041391985,-0.120270450176295,746.100000023842,TRUE,5,2,"High",0.675279591215691,0.713794787184197,6.02223851130344,0.199296069501983,0.54654575851397,0.111837614332464,4.22382714395155,3.88872609650417,1.43272909175242,1.16432553141489,0,-0.0385151959685059,0.936226387091839,0.475983521713708,0.128733832701721,0.563441976883227,2.73463775444372,3.06973880189111,-0.757449500536734,-0.489045940199196,1
"TWIG",FALSE,1,"6",715.899999976158,0.713794787184197,0.6971492303987,0.016645556785497,979.799999952316,TRUE,5,2,"High",0.675279591215691,0.713794787184197,6.02223851130344,0.199296069501983,0.54654575851397,0.111837614332464,4.22382714395155,3.88872609650417,1.43272909175242,1.16432553141489,0.0385151959685059,0,0.974741583060345,0.514498717682214,0.167249028670227,0.601957172851733,2.77315295041223,3.10825399785961,-0.718934304568228,-0.45053074423069,1
"HYMN",FALSE,2,"6",505.899999976158,6.02223851130344,5.8785289611947,0.14370955010874,1131.5,TRUE,5,2,"High",0.675279591215691,0.713794787184197,6.02223851130344,0.199296069501983,0.54654575851397,0.111837614332464,4.22382714395155,3.88872609650417,1.43272909175242,1.16432553141489,-0.936226387091839,-0.974741583060345,0,-0.460242865378132,-0.807492554390119,-0.372784410208612,1.79841136735188,2.13351241479927,-1.69367588762857,-1.42527232729104,1
"HAZY",FALSE,3,"6",747.800000071526,0.199296069501983,0.0459135734399392,0.153382496062044,1114.60000002384,TRUE,5,2,"High",0.675279591215691,0.713794787184197,6.02223851130344,0.199296069501983,0.54654575851397,0.111837614332464,4.22382714395155,3.88872609650417,1.43272909175242,1.16432553141489,-0.475983521713708,-0.514498717682214,0.460242865378132,0,-0.347249689011987,0.0874584551695192,2.25865423273002,2.5937552801774,-1.23343302225044,-0.965029461912904,1
